Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Greenwich__Greenwich_West,00ALGY,E05000222,18450.00,8485.00,8000.00,450000.00,42270.00,4.60
Greenwich__Kidbrooke_with_Hornfair,00ALGZ,E05000223,14650.00,6525.00,1600.00,260050.00,35740.00,2.60
Greenwich__Middle_Park_and_Sutcliffe,00ALHA,E05000224,13900.00,5652.00,2100.00,292755.00,35340.00,2.30
Greenwich__Peninsula,00ALHB,E05000225,24500.00,7798.00,11400.00,379000.00,41840.00,4.50
Greenwich__Plumstead,00ALHC,E05000226,17050.00,7282.00,1900.00,249000.00,32390.00,3.60
Greenwich__Shooters_Hill,00ALHD,E05000227,13750.00,6242.00,2000.00,270000.00,39030.00,2.40
Greenwich__Thamesmead_Moorings,00ALHE,E05000228,22200.00,8273.00,5800.00,190000.00,34450.00,2.60
Greenwich__Woolwich_Common,00ALHF,E05000229,19550.00,7113.00,7900.00,267500.00,30260.00,4.00
Greenwich__Woolwich_Riverside,00ALHG,E05000230,23050.00,8681.00,11500.00,266250.00,33540.00,4.50
Hackney__Brownswood,00AMGA,E05000231,13300.00,6334.00,1200.00,440000.00,40070.00,6.10
Hackney__Cazenove,00AMGB,E05000232,13800.00,5744.00,1800.00,375000.00,38130.00,4.70
Hackney__Chatham,00AMGC,E05000233,13950.00,5930.00,6600.00,415000.00,32510.00,5.80
Hackney__Clissold,00AMGD,E05000234,12650.00,6683.00,1600.00,499950.00,45450.00,3.60
Hackney__Dalston,00AMGE,E05000235,15950.00,8021.00,5100.00,485000.00,38230.00,6.00
Hackney__De_Beauvoir,00AMGF,E05000236,15200.00,7456.00,4200.00,480000.00,39060.00,4.90
Hackney__Hackney_Central,00AMGG,E05000237,13200.00,6240.00,6900.00,450000.00,35260.00,6.70
Hackney__Hackney_Downs,00AMGH,E05000238,13400.00,6214.00,1400.00,433000.00,35700.00,5.50
Hackney__Haggerston,00AMGJ,E05000239,15250.00,7346.00,34000.00,452500.00,36080.00,5.70
Hackney__Hoxton,00AMGK,E05000240,16300.00,7412.00,10100.00,475000.00,34970.00,5.80
Hackney__King's_Park,00AMGL,E05000241,11650.00,4166.00,n/a,383000.00,31970.00,2.90
Hackney__Leabridge,00AMGM,E05000242,14600.00,6620.00,1600.00,375000.00,35110.00,4.30
Hackney__Lordship,00AMGN,E05000243,12700.00,5089.00,2400.00,420000.00,39940.00,3.70
Hackney__New_River,00AMGP,E05000244,14500.00,4631.00,3500.00,340000.00,35590.00,5.00
Hackney__Queensbridge,00AMGQ,E05000245,14450.00,6868.00,4100.00,465000.00,36720.00,4.80
Hackney__Springfield,00AMGR,E05000246,12800.00,3994.00,1900.00,285000.00,33570.00,3.20
