,id,lat,lon,amenity
550,10045891,51.6515698,-0.0683163,school
551,10046025,51.6581676,-0.079325,school
552,10046131,51.6597144,-0.0808059,school
553,10046640,51.636417,-0.0442975,school
554,10047837,51.6436941,-0.0434942,school
555,10048308,51.6500792,-0.0474852,school
556,10049722,51.6614412,-0.0568714,school
557,10049942,51.648163,-0.0391391,school
558,10049997,51.6442563,-0.0366158,school
559,10050316,51.6736872,-0.0958903,school
560,10050497,51.666695,-0.0643758,school
561,10050708,51.6713026,-0.0603993,school
562,10051435,51.6573406,-0.0460318,school
563,10051597,51.6535282,-0.0356537,school
564,10051790,51.6659277,-0.0386329,school
565,10051970,51.6783177,-0.0551122,school
566,10052104,51.6779304,-0.0501813,school
567,10052224,51.6697294,-0.0311343,school
568,10052419,51.6739155,-0.039446,school
569,10052651,51.6693809,-0.0243247,school
570,10071965,51.6205859,-0.3508186,parking
571,10229729,51.5123614,0.2933026,parking
572,10270680,51.4725569,-0.0366955,college
573,10273274,51.6340969,-0.0791152,school
574,10278820,51.3775164,-0.1833297,school
575,10278841,51.3728257,-0.1923327,school
576,10364277,51.5912851,-0.3340029,parking
577,10371164,51.5092277,0.0275459,conference_centre
578,10403540,51.4661251,-0.0130685,parking
579,10408063,51.4979086,0.0036127,parking
580,10408600,51.4900392,0.0123722,parking
581,10440056,51.5536143,-0.2901062,school
582,10440077,51.5437402,-0.2884328,school
583,10479757,51.2961739,-0.328795,parking
584,10506091,51.4893396,0.028077,parking
585,10506224,51.4874918,-0.3813256,parking
586,10507126,51.5441919,-0.2925041,school
587,10507350,51.4764739,0.0520978,parking
588,10507358,51.5489661,-0.3087092,school
589,10523168,51.5689455,-0.3095582,school
590,10523361,51.5633285,-0.3113029,school
591,10571148,51.4944067,0.0603076,parking
592,10575064,51.4927141,-0.3809667,school
593,10575067,51.4928833,-0.3811091,school
594,10575073,51.4935778,-0.3906902,parking
595,10575085,51.4907785,-0.4085842,school
596,10575121,51.4865283,-0.3903438,school
597,10575128,51.4835862,-0.3827978,health_centre
598,10578397,51.4952866,0.0818833,nursing_home
599,10589796,51.4944843,-0.3998512,parking
600,10595308,51.6180279,-0.0611992,school
601,10662957,51.5194561,-0.0530014,parking
602,10695648,51.4629399,-0.3870699,parking
603,10695654,51.4594882,-0.3746463,place_of_worship
604,10695655,51.4588303,-0.3770076,parking
605,10699522,51.5071362,0.1037364,parking
606,10699704,51.3166048,0.025367,school
607,10804706,51.557067,-0.0088793,shopping
608,10810446,51.4961833,-0.1399557,place_of_worship
609,10955552,51.4671173,-0.0655039,parking
610,11009150,51.5509539,0.2325776,parking
611,11402051,51.3401061,-0.051817,school
612,11402143,51.3393923,-0.0664357,school
613,11402242,51.3471727,-0.0572585,school
614,11402366,51.3451315,-0.038684,school
615,11402494,51.3503531,-0.0397477,school
616,11402604,51.3506993,-0.0451496,college
617,11403088,51.3728842,-0.0606635,school
618,11657049,51.6919156,-0.0344969,parking
619,11842312,51.5784464,-0.3874455,school
620,11845181,51.5956343,-0.3131591,school
621,11846533,51.376404,-0.0139543,parking
622,11846568,51.3758761,-0.0192199,parking
623,11846595,51.6290856,-0.2770138,school
624,11846925,51.377103,-0.0211769,parking
625,11847178,51.6308797,-0.2645277,parking
626,11847206,51.6329711,-0.2658759,parking
627,11847356,51.627244,-0.2577642,school
628,12116455,51.6514977,-0.1954448,school
629,12164626,51.5910029,-0.0119938,public_building
630,12164834,51.5909782,-0.0140596,townhall
631,12542822,51.6485493,-0.0488716,parking
632,12542850,51.6466587,-0.0484939,parking
633,12547648,51.687367,-0.2248823,fuel
634,13710230,51.4315951,-0.1392439,swimming_pool
635,13853996,51.4105834,-0.1154849,college
636,13857391,51.4065807,0.010667,parking
637,13868070,51.5183283,0.0355573,parking
638,13868105,51.5227924,0.0370854,parking
639,13869343,51.4144994,-0.177573,parking
640,13869347,51.4142324,-0.1784406,parking
641,13884985,51.4798131,-0.3197166,park
642,13884987,51.4810073,-0.3194597,community_centre
643,14117991,51.4527872,0.0513249,grave_yard
644,14495071,51.5213151,-0.0514444,cinema
