,id,center,lat,lon,amenity,classification,tags
2969,196385688,"{u'lat': 51.3784666, u'lon': -0.1028388}",51.3784666,-0.1028388,bakery,,"{u'addr:housenumber': u'10', u'shop': u'bakery', u'building': u'retail', u'addr:postcode': u'CR0 2TA', u'source:postcode': u'FSA Food Hygiene Ratings database', u'addr:street': u'London Road', u'name': u'Greggs'}"
2970,196404285,"{u'lat': 51.4617893, u'lon': -0.0687819}",51.4617893,-0.0687819,convenience,,"{u'building': u'retail', u'shop': u'convenience', u'name': u'Costcutter', u'addr:postcode': u'SE22 9BD', u'addr:housename': u'Dulwich Filling Station', u'addr:street': u'East Dulwich Road'}"
2971,196651383,"{u'lat': 51.5105645, u'lon': -0.1240834}",51.5105645,-0.1240834,herbalist,,"{u'building': u'yes', u'shop': u'herbalist', u'name': u'Holland and Barrett', u'level': u'0', u'website': u'http://www.gnc.co.uk', u'source': u'photograph'}"
2972,196651387,"{u'lat': 51.5105873, u'lon': -0.1244355}",51.5105873,-0.1244355,hairdresser,,"{u'shop': u'hairdresser', u'source': u'photograph', u'name': u'Toni & Guy', u'level': u'0'}"
2973,196657748,"{u'lat': 51.5123168, u'lon': -0.1205648}",51.5123168,-0.1205648,vacant,,"{u'building': u'yes', u'shop': u'vacant', u'building:levels': u'4', u'survey:date': u'2014-07-22', u'source': u'Bing;photograph;survey', u'old_name': u""PJ's""}"
2974,196701350,"{u'lat': 51.3769885, u'lon': -0.1023435}",51.3769885,-0.1023435,erotic,,"{u'addr:housenumber': u'135', u'building': u'retail', u'name': u'Ann Summers', u'shop': u'erotic', u'source': u'survey'}"
2975,196701356,"{u'lat': 51.3775073, u'lon': -0.10258}",51.3775073,-0.10258,furniture,,"{u'addr:housenumber': u'145-147', u'building': u'retail', u'name': u'Bright House', u'shop': u'furniture', u'source': u'survey', u'addr:street': u'North End'}"
2976,196701357,"{u'lat': 51.3774106, u'lon': -0.1024122}",51.3774106,-0.1024122,gift,,"{u'addr:housenumber': u'141', u'building': u'retail', u'name': u'Card Factory', u'shop': u'gift', u'source': u'survey', u'addr:street': u'North End'}"
2977,196701360,"{u'lat': 51.3769593, u'lon': -0.1022552}",51.3769593,-0.1022552,clothes,,"{u'addr:housenumber': u'135a', u'building': u'retail', u'name': u'Love London Fashion', u'shop': u'clothes', u'addr:street': u'North End'}"
2978,196701362,"{u'lat': 51.377459, u'lon': -0.1024402}",51.377459,-0.1024402,clothes,,"{u'addr:housenumber': u'143', u'building': u'retail', u'name': u'Juz Lookin', u'shop': u'clothes', u'source': u'survey', u'addr:street': u'North End'}"
2979,196701364,"{u'lat': 51.3774963, u'lon': -0.1015651}",51.3774963,-0.1015651,department_store,,"{u'addr:housenumber': u'114-126', u'building': u'retail', u'name': u'Marks and Spencer', u'shop': u'department_store', u'designation': u'Croydon', u'addr:street': u'North End'}"
2980,196701366,"{u'lat': 51.3775987, u'lon': -0.1024895}",51.3775987,-0.1024895,convenience,,"{u'addr:housenumber': u'149', u'building': u'retail', u'name': u'Richards', u'shop': u'convenience', u'source': u'survey', u'addr:street': u'North End'}"
